COM-003,"ISISPACE UHF/VHF Transceiver Datasheet, ISISPACE Full Duplex Brochure, SatCatalog Transceiver Overview","Architecture inferred as ATMega/AVR based on ISISPACE documentation and subsystem class. Cost proxy ($11,000) based on SatCatalog and CubeSatShop listings.",,,,,,,,,,,,,,,,,,,
EPS-001,"ISISPACE ICEPS2 Datasheet, Satsearch ICEPS2 Listing, NASA SoA 2023 (Chapter 4)","Architecture inferred as ARM Cortex-M4 based on ICEPS2 interface specs and vendor’s Gen2 design language. Cost proxy ($8,500) based on Satsearch and NASA SoA EPS pricing.",,,,,,,,,,,,,,,,,,,
EPS-002,"EnduroSat EPS II Datasheet, Satsearch EPS II Listing, NASA SoA 2023 (Chapter 4)","Architecture inferred as ARM Cortex-M4 based on EnduroSat hardware specs and subsystem class. Cost proxy ($5,500) based on Satsearch and NASA SoA CubeSat EPS pricing.",,,,,,,,,,,,,,,,,,,
EPS-003,"Pumpkin Linear EPS Datasheet, Stanford SSI Wiki, SatCatalog EPS Overview","Architecture inferred as PIC24 based on Pumpkin documentation and historical CubeSat implementations. Cost proxy ($9,500) based on Stanford SSI and SatCatalog listings.",,,,,,,,,,,,,,,,,,,
PROP-001,"ENPULSION Nano R3 Datasheet, ESA NANO AR3 Final Presentation, SmallSat Europe: Flight Heritage & Design Updates, Satsearch ENPULSION Nano R3 Listing","Architecture inferred as ARM Cortex-M class based on updated electronics, radiation-tested COTS+ components, and subsystem class analogs. Cost proxy ($55,000) based on Satsearch and vendor pricing for similar CubeSat propulsion units.",,,,,,,,,,,,,,,,,,,
PROP-002,"Busek BIT-3 Datasheet, NASA GSFC CubeSat Propulsion Presentation, SatCatalog BIT-3 Overview","Architecture inferred as MSP430 based on NASA documentation and Busek’s historical use of low-power TI MCUs in similar systems. Cost proxy ($125,000) based on SatCatalog and vendor listings for BIT-3 with gimbal.",,,,,,,,,,,,,,,,,,,
PROP-003,"Dawn Aerospace B20 Datasheet, SatCatalog B20 Overview, Satsearch B20 Listing","Architecture inferred as ARM Cortex-M0+ based on vendor descriptions of control electronics, interface specs, and subsystem class. Cost proxy ($45,000) based on SatCatalog and Satsearch listings for B20 green propulsion systems.",,,,,,,,,,,,,,,,,,,
GNSS-001,"NovAtel OEM719 Datasheet, SatCatalog OEM719 Overview, NASA SoA 2023 (Chapter 6)","Architecture confirmed as ARM Cortex-A9 via Zynq-7000 SoC listed in NovAtel datasheet. Cost proxy ($1,500) based on SatCatalog and NovAtel listings.",,,,,,,,,,,,,,,,,,,
GNSS-002,"GomSpace NanoUtil Datasheet, Satsearch NanoUtil Listing, CubeSatShop NanoUtil Overview","Architecture inferred as AVR32 based on GomSpace documentation and legacy UC3 controller references. Cost proxy ($4,500) based on CubeSatShop and Satsearch listings.",,,,,,,,,,,,,,,,,,,
GNSS-003,"Antcom G5 Space Datasheet, SatNow G5 Antenna Overview","Architecture not applicable — passive RF antenna with no programmable controller. Cost proxy ($2,200) based on SatNow and SatCatalog listings.",,,,,,,,,,,,,,,,,,,
PAY-001,"Simera Sense MultiScape100 Datasheet, SatCatalog MultiScape100 Overview, NASA SoA 2023 (Chapter 9)","Architecture confirmed as ARM Cortex-A9 via Zynq-7000 SoC listed in datasheet. Cost proxy ($45,000) based on SatCatalog and NASA SoA CubeSat payload pricing.",,,,,,,,,,,,,,,,,,,
PAY-002,"Dragonfly Aero Gecko Imager Datasheet, SatCatalog Gecko Overview, SatNow Gecko Listing","Architecture inferred as ARM Cortex-M7 based on vendor SoC specifications and subsystem class. Cost proxy ($25,000) based on SatCatalog and vendor listings.",,,,,,,,,,,,,,,,,,,
PAY-003,"GomSpace NanoCam C1U Datasheet, Satsearch NanoCam Listing, CubeSatShop NanoCam Overview","Architecture inferred as AVR32 based on GomSpace documentation and legacy CubeSat camera designs. Cost proxy ($12,000) based on CubeSatShop and SatCatalog listings.",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
